boy_id,typeAtrractiveness,gf_budget,Intelligence,Required_attr
boy_0,generous,89,6328,65,69
boy_1,geek,45,6594,76,90
boy_2,generous,51,2433,68,70
boy_3,generous,61,3462,68,92
boy_4,geek,51,3358,72,81
boy_5,geek,68,5843,71,84
boy_6,generous,51,3542,81,76
boy_7,geek,51,5688,87,66
boy_8,geek,54,5043,79,83
boy_9,generous,64,6978,81,75
boy_10,generous,93,5594,71,68
boy_11,generous,64,6945,71,78
boy_12,miser,68,2191,67,67
boy_13,generous,73,4876,71,61
boy_14,geek,68,5849,69,48
boy_15,miser,93,6798,69,91
boy_16,generous,46,2028,75,89
boy_17,geek,90,6661,65,70
boy_18,geek,73,3565,65,57
boy_19,generous,68,5760,69,60
boy_20,generous,47,2088,84,47
boy_21,geek,52,6965,71,54
boy_22,generous,81,4649,91,79
boy_23,miser,82,4314,67,81
boy_24,miser,77,3873,92,90
boy_25,geek,54,4249,86,78
boy_26,geek,67,6664,69,49
boy_27,generous,78,4521,71,74
boy_28,geek,50,5033,82,61
boy_29,generous,62,2968,77,92
boy_30,generous,60,3939,88,75
boy_31,geek,49,6793,68,92
boy_32,geek,86,3386,91,85
boy_33,geek,53,6864,65,85
boy_34,miser,48,2255,66,56
boy_35,generous,60,5313,78,80
boy_36,miser,87,3370,76,48
boy_37,geek,79,5008,82,61
boy_38,generous,66,2554,81,89
boy_39,geek,94,2924,71,64
boy_40,geek,57,3919,84,54
boy_41,generous,88,4120,90,63
boy_42,geek,77,5699,68,48
boy_43,generous,77,4563,82,83
boy_44,miser,87,3284,80,89
boy_45,miser,52,3399,84,83
boy_46,generous,70,6231,92,47
boy_47,miser,74,4160,82,72
boy_48,miser,55,5446,74,82
boy_49,miser,61,6968,78,80
boy_50,generous,47,2781,68,87
boy_51,generous,71,3910,69,49
boy_52,miser,58,6729,82,62
boy_53,geek,54,3341,91,63
boy_54,generous,49,2584,83,53
boy_55,geek,50,2718,71,69
boy_56,miser,82,3521,81,67
boy_57,miser,67,4617,85,92
boy_58,geek,52,3552,82,84
boy_59,geek,86,6562,80,71
boy_60,generous,57,5813,67,56
boy_61,miser,86,3480,82,84
boy_62,geek,65,5024,76,93
boy_63,generous,68,3001,67,57
boy_64,geek,54,3580,91,54
boy_65,generous,78,6747,88,49
boy_66,miser,49,3780,77,89
boy_67,generous,66,6649,80,51
boy_68,generous,56,5152,92,52
boy_69,geek,67,4591,91,64
boy_70,generous,69,2142,82,56
