boy_id,typeAtrractiveness,gf_budget,Intelligence,Required_attr
boy_0,geek,69,5251,75,73
boy_1,miser,51,5512,84,81
boy_2,generous,73,5464,67,52
boy_3,geek,45,5388,78,85
boy_4,miser,82,5240,75,50
boy_5,generous,87,6463,92,93
boy_6,generous,90,2298,75,67
boy_7,generous,51,2311,73,78
boy_8,generous,74,4637,86,83
boy_9,geek,45,4507,83,47
boy_10,geek,45,2063,78,83
boy_11,geek,68,6789,67,82
boy_12,geek,45,2266,90,45
boy_13,miser,91,6121,73,77
boy_14,generous,51,6608,93,85
boy_15,miser,89,6399,71,54
boy_16,geek,57,6625,77,71
boy_17,geek,92,2956,69,52
boy_18,generous,74,2676,82,59
boy_19,miser,92,5325,75,71
boy_20,geek,87,3120,88,92
boy_21,miser,46,6507,84,73
boy_22,miser,72,2774,82,70
boy_23,geek,60,5702,79,87
boy_24,generous,53,2979,67,62
boy_25,generous,48,6486,67,83
boy_26,generous,91,4851,73,59
boy_27,geek,89,6067,93,80
boy_28,generous,61,4934,91,83
boy_29,geek,47,2460,90,93
boy_30,miser,59,4195,79,59
boy_31,generous,67,4074,77,62
boy_32,generous,48,5512,94,86
boy_33,geek,69,6454,86,74
boy_34,miser,82,6567,65,90
boy_35,geek,91,2252,87,63
boy_36,generous,58,6498,93,60
boy_37,generous,75,2454,90,77
boy_38,miser,82,5770,93,58
boy_39,geek,88,2324,74,70
boy_40,miser,74,2195,93,70
boy_41,miser,54,3965,66,94
boy_42,generous,77,2822,72,85
boy_43,geek,78,3603,71,91
boy_44,miser,47,4761,85,92
boy_45,miser,69,4858,81,80
boy_46,miser,45,5229,77,91
boy_47,geek,66,4233,82,83
boy_48,geek,80,5507,67,55
boy_49,geek,85,5073,68,71
boy_50,generous,62,2408,75,51
boy_51,generous,63,2264,66,69
boy_52,miser,46,5974,82,83
boy_53,geek,78,6787,79,52
boy_54,geek,85,6388,69,51
boy_55,miser,90,4255,82,80
boy_56,geek,46,4317,69,60
boy_57,geek,47,6947,84,67
boy_58,geek,84,5759,70,52
boy_59,miser,90,3500,70,72
boy_60,geek,85,2269,91,48
boy_61,miser,72,5099,67,48
boy_62,miser,91,3473,65,45
boy_63,generous,85,6658,79,65
boy_64,generous,63,3157,94,94
boy_65,miser,55,6346,66,66
boy_66,geek,78,4471,74,87
boy_67,generous,77,4094,67,74
boy_68,geek,51,3986,87,58
boy_69,geek,70,2908,92,83
boy_70,generous,46,4758,86,70
boy_71,generous,63,3235,77,78
boy_72,miser,85,4173,73,84
boy_73,geek,89,3887,88,93
boy_74,generous,58,6099,69,83
boy_75,geek,78,5962,86,65
boy_76,generous,79,3956,94,64
boy_77,generous,86,4469,69,48
boy_78,generous,84,6810,69,60
