
girl_id,type,Atrractiveness,Maintenance_budget,Intelligence
girl_0,desperate,59,2696,77
girl_1,normal,61,3236,76
girl_2,normal,80,3401,86
girl_3,desperate,66,2051,92
girl_4,choosy,71,3134,91
girl_5,normal,77,3716,92
girl_6,choosy,52,3474,69
girl_7,normal,93,3269,88
girl_8,desperate,85,2425,80
girl_9,desperate,89,3713,74
girl_10,choosy,73,3347,80
girl_11,normal,61,3684,88
girl_12,choosy,67,2085,76
girl_13,desperate,76,3250,88
girl_14,choosy,76,2570,69
girl_15,desperate,67,2918,82
girl_16,normal,87,3519,86
girl_17,normal,93,2021,90
girl_18,desperate,70,2402,78
