boy_id,typeAtrractiveness,gf_budget,Intelligence,Required_attr
boy_0,geek,63,3806,77,89
boy_1,miser,59,2662,71,89
boy_2,generous,93,6992,80,71
boy_3,generous,54,2745,76,63
boy_4,miser,94,3076,94,59
boy_5,generous,53,5343,74,53
boy_6,miser,46,5563,86,59
boy_7,generous,74,4006,72,86
boy_8,miser,66,4968,87,91
boy_9,generous,74,6022,94,62
boy_10,miser,85,5766,73,73
boy_11,geek,52,4694,69,54
boy_12,generous,61,5387,82,94
boy_13,generous,77,4299,71,93
boy_14,miser,89,4466,93,62
boy_15,geek,80,2131,86,48
boy_16,geek,60,6942,85,45
boy_17,generous,69,2967,83,88
boy_18,geek,76,3203,82,94
boy_19,geek,62,2181,69,79
boy_20,geek,76,4570,90,46
boy_21,geek,93,2389,78,79
boy_22,miser,91,3393,83,91
boy_23,geek,91,5350,84,76
boy_24,geek,85,4748,68,81
boy_25,miser,57,6083,79,50
boy_26,miser,51,5865,86,62
boy_27,geek,46,5340,87,45
boy_28,geek,65,2796,93,54
boy_29,geek,68,5742,92,77
boy_30,miser,83,4516,71,72
boy_31,miser,80,2087,65,82
boy_32,generous,68,2028,93,94
boy_33,miser,49,2542,66,56
boy_34,generous,83,6845,78,81
boy_35,generous,88,4530,89,82
boy_36,miser,86,2409,77,80
boy_37,miser,61,4738,68,60
boy_38,generous,68,6452,70,93
boy_39,geek,66,3267,83,91
boy_40,generous,52,3039,70,68
boy_41,geek,49,5311,72,94
boy_42,miser,60,2878,89,84
boy_43,generous,52,3545,81,89
boy_44,miser,88,4482,86,58
boy_45,geek,58,4638,88,47
boy_46,geek,51,5381,67,56
boy_47,miser,59,6496,66,94
boy_48,generous,82,4164,84,80
boy_49,geek,47,5598,83,65
boy_50,generous,86,5889,81,81
boy_51,miser,50,6583,89,86
boy_52,geek,49,4972,90,68
boy_53,geek,68,4438,74,51
boy_54,miser,89,6146,89,57
boy_55,generous,51,2557,82,72
boy_56,miser,86,2215,85,60
boy_57,geek,89,3860,83,65
boy_58,generous,73,4534,92,76
boy_59,geek,76,4898,89,73
boy_60,miser,52,3670,79,79
boy_61,geek,77,4353,77,92
boy_62,miser,70,6164,86,87
boy_63,generous,51,5144,67,47
boy_64,generous,55,4032,82,61
boy_65,miser,58,6043,83,58
boy_66,generous,65,2605,88,87
boy_67,generous,78,4640,83,87
boy_68,generous,77,6928,69,54
boy_69,generous,77,5464,66,80
boy_70,geek,85,3408,75,84
boy_71,miser,76,6835,79,55
boy_72,geek,85,4642,73,90
boy_73,miser,57,4941,83,85
boy_74,miser,78,4369,86,56
boy_75,miser,80,2976,67,90
boy_76,miser,92,6327,83,75
boy_77,geek,87,2911,68,85
boy_78,geek,72,3093,77,71
boy_79,miser,78,4325,82,45
boy_80,geek,73,3865,74,79
boy_81,generous,51,2360,72,48
