
girl_id,type,Atrractiveness,Maintenance_budget,Intelligence
girl_0,desperate,90,3080,69
girl_1,normal,83,2082,85
girl_2,choosy,80,2376,87
girl_3,desperate,78,3899,79
girl_4,choosy,91,2717,74
girl_5,normal,65,2343,77
girl_6,desperate,83,3016,66
girl_7,normal,56,3443,70
girl_8,desperate,72,3538,84
girl_9,choosy,52,2241,76
girl_10,choosy,49,2086,70
girl_11,desperate,94,3535,75
girl_12,normal,51,2029,82
girl_13,desperate,56,2391,74
girl_14,desperate,85,3170,87
girl_15,choosy,59,2263,66
girl_16,choosy,93,2466,68
girl_17,choosy,45,2966,78
girl_18,desperate,74,3225,87
girl_19,normal,78,2242,83
girl_20,normal,49,2666,72
girl_21,normal,80,2258,73
girl_22,choosy,51,2468,72
girl_23,normal,72,3632,80
