
girl_id,type,Atrractiveness,Maintenance_budget,Intelligence
girl_0,choosy,52,3705,67
girl_1,choosy,82,3419,77
girl_2,desperate,48,3363,81
girl_3,normal,55,3781,67
girl_4,normal,64,2762,83
girl_5,normal,77,3346,78
girl_6,normal,58,3237,84
girl_7,normal,69,3070,83
girl_8,normal,67,3791,91
girl_9,normal,49,3470,72
girl_10,choosy,92,3145,84
girl_11,normal,76,3511,67
girl_12,normal,58,3267,72
girl_13,desperate,89,3449,80
girl_14,normal,71,3160,85
girl_15,desperate,68,2610,81
girl_16,desperate,67,2538,74
girl_17,normal,66,2350,78
girl_18,desperate,75,2343,67
girl_19,normal,89,3729,94
girl_20,desperate,55,3471,86
