boy_id,typeAtrractiveness,gf_budget,Intelligence,Required_attr
boy_0,geek,80,5103,79,67
boy_1,generous,83,2899,78,79
boy_2,miser,56,6939,91,62
boy_3,geek,87,6045,84,75
boy_4,generous,58,4030,90,49
boy_5,generous,81,2689,77,49
boy_6,geek,71,5405,89,64
boy_7,miser,63,4119,84,62
boy_8,miser,93,3393,68,46
boy_9,generous,71,3556,67,58
boy_10,miser,70,4472,80,85
boy_11,generous,65,6616,88,80
boy_12,miser,72,4506,77,87
boy_13,miser,92,4649,88,78
boy_14,generous,48,6906,81,49
boy_15,generous,45,3309,78,82
boy_16,miser,93,3265,81,67
boy_17,miser,51,5855,68,76
boy_18,generous,91,3792,91,85
boy_19,generous,74,2110,87,84
boy_20,generous,80,4067,81,53
boy_21,generous,65,4242,90,62
boy_22,miser,52,4463,78,57
boy_23,geek,93,2867,85,45
boy_24,generous,68,3493,88,85
boy_25,geek,45,5667,90,62
boy_26,miser,49,2529,72,66
boy_27,geek,80,4952,89,51
boy_28,geek,65,4335,83,51
boy_29,generous,52,3093,78,65
boy_30,geek,64,5147,91,88
boy_31,geek,60,2669,83,91
boy_32,generous,76,6679,83,86
boy_33,geek,94,3620,80,63
boy_34,generous,58,6954,82,66
boy_35,generous,68,3599,83,88
boy_36,generous,63,5013,74,80
boy_37,geek,55,5057,72,49
boy_38,geek,51,2179,82,54
boy_39,miser,77,4781,70,48
boy_40,miser,90,5018,70,78
boy_41,geek,45,5551,80,88
boy_42,geek,58,5556,65,69
boy_43,geek,71,6469,84,70
boy_44,geek,58,2034,88,76
boy_45,generous,68,6715,71,79
boy_46,miser,49,2999,76,53
boy_47,miser,71,5372,84,91
boy_48,geek,82,5389,85,87
boy_49,geek,48,4993,84,74
boy_50,geek,64,3370,75,91
boy_51,miser,59,4468,84,83
boy_52,generous,79,4722,73,73
boy_53,generous,89,3127,82,89
boy_54,generous,60,4291,81,46
boy_55,miser,82,3095,91,86
boy_56,generous,81,6183,74,59
boy_57,generous,66,3597,65,79
boy_58,geek,56,3209,65,88
boy_59,miser,64,2104,79,93
boy_60,geek,47,5716,65,75
boy_61,miser,72,3989,66,71
boy_62,geek,45,6291,67,89
boy_63,miser,82,4045,87,69
boy_64,generous,47,3190,90,53
boy_65,generous,69,5672,88,60
boy_66,geek,77,2878,79,67
boy_67,geek,48,3202,82,74
boy_68,generous,87,5601,87,75
boy_69,geek,63,5422,66,87
boy_70,generous,68,3128,70,62
boy_71,generous,93,4055,93,90
boy_72,geek,50,6871,83,78
boy_73,generous,93,3822,88,60
boy_74,generous,71,4882,92,53
boy_75,miser,80,2785,88,89
boy_76,generous,72,5958,81,59
