boy_id,typeAtrractiveness,gf_budget,Intelligence,Required_attr
boy_0,miser,55,3453,87,89
boy_1,geek,62,2495,79,65
boy_2,generous,74,3268,82,62
boy_3,miser,74,6290,87,59
boy_4,geek,83,6808,72,88
boy_5,generous,80,2227,83,59
boy_6,miser,71,2653,75,77
boy_7,geek,45,2312,82,45
boy_8,generous,84,3930,90,78
boy_9,generous,81,2779,79,86
boy_10,miser,67,3894,68,64
boy_11,geek,54,4950,86,82
boy_12,geek,92,5487,89,67
boy_13,miser,85,5921,77,67
boy_14,miser,74,6156,86,62
boy_15,miser,78,6616,79,55
boy_16,geek,62,6509,93,85
boy_17,geek,50,2097,79,46
boy_18,geek,46,4892,72,51
boy_19,miser,66,5998,90,67
boy_20,miser,51,6658,77,73
boy_21,miser,93,4842,74,51
boy_22,geek,70,6337,93,67
boy_23,generous,88,4378,74,62
boy_24,miser,67,3448,82,55
boy_25,generous,69,6442,78,73
boy_26,geek,59,6825,84,66
boy_27,generous,83,5177,86,63
boy_28,geek,91,4761,86,90
boy_29,geek,83,3103,66,85
boy_30,generous,65,6824,76,74
boy_31,generous,47,3079,84,68
boy_32,generous,91,4680,90,53
boy_33,geek,76,4523,84,78
boy_34,generous,87,3594,92,88
boy_35,geek,55,2918,70,72
boy_36,geek,67,4598,88,72
boy_37,geek,52,4284,75,56
boy_38,geek,64,2162,75,89
boy_39,geek,80,6969,75,91
boy_40,generous,93,2684,93,63
boy_41,generous,85,2541,87,70
boy_42,miser,90,2604,91,61
boy_43,generous,79,5618,75,59
boy_44,geek,75,4287,79,92
boy_45,miser,84,4996,70,86
boy_46,miser,45,2673,93,53
boy_47,miser,86,4977,83,59
boy_48,geek,71,5493,72,71
boy_49,geek,82,6234,79,80
boy_50,generous,50,5481,76,74
boy_51,geek,87,4876,74,60
boy_52,miser,54,3191,79,51
boy_53,geek,59,4203,85,85
boy_54,generous,80,6179,93,47
boy_55,generous,75,6140,86,86
boy_56,miser,72,5192,82,87
boy_57,geek,75,6276,65,67
boy_58,geek,57,6742,70,93
boy_59,miser,60,2947,74,56
boy_60,geek,61,6559,68,46
boy_61,generous,84,2990,79,83
boy_62,miser,91,4580,78,47
boy_63,generous,63,6182,86,46
boy_64,generous,45,4034,88,79
boy_65,miser,87,6788,86,49
boy_66,miser,71,2603,79,57
boy_67,geek,84,6488,73,69
boy_68,generous,75,3100,76,75
boy_69,miser,59,3009,77,65
boy_70,geek,69,5295,79,71
boy_71,miser,78,4717,76,58
boy_72,generous,84,4655,74,50
boy_73,miser,86,4277,85,80
boy_74,miser,61,5035,70,53
boy_75,generous,48,4849,78,79
boy_76,generous,94,2965,80,76
boy_77,generous,93,5599,81,64
boy_78,miser,60,5235,90,72
boy_79,generous,64,4267,83,74
boy_80,miser,76,5594,81,80
boy_81,geek,90,3525,86,88
boy_82,generous,50,6644,78,58
