boy_id,typeAtrractiveness,gf_budget,Intelligence,Required_attr
boy_0,miser,91,2551,91,86
boy_1,geek,83,2616,81,91
boy_2,miser,64,3638,92,85
boy_3,miser,57,2328,79,89
boy_4,miser,47,3539,66,77
boy_5,generous,71,4056,70,83
boy_6,geek,58,3537,70,82
boy_7,geek,70,2430,88,70
boy_8,miser,87,3208,71,89
boy_9,geek,81,3113,66,69
boy_10,miser,78,3230,82,78
boy_11,geek,89,4659,90,73
boy_12,miser,82,3193,87,74
boy_13,geek,81,4979,76,88
boy_14,geek,58,2313,78,53
boy_15,miser,57,3335,71,50
boy_16,miser,93,3606,82,45
boy_17,generous,52,6232,81,92
boy_18,generous,93,2212,85,94
boy_19,geek,94,3970,71,46
boy_20,generous,68,4999,94,90
boy_21,generous,72,2396,69,78
boy_22,geek,51,3435,71,78
boy_23,miser,62,3355,90,82
boy_24,geek,51,2159,82,74
boy_25,miser,83,3818,90,50
boy_26,generous,71,4645,85,78
boy_27,miser,61,2814,82,89
boy_28,generous,46,4168,87,64
boy_29,generous,50,2044,81,83
boy_30,miser,74,2335,91,79
boy_31,generous,78,5876,94,69
boy_32,generous,74,3886,70,64
boy_33,geek,50,4395,88,63
boy_34,geek,94,4556,81,46
boy_35,generous,52,3597,83,73
boy_36,generous,77,3126,65,71
boy_37,geek,92,2961,77,79
boy_38,miser,62,2325,86,79
boy_39,miser,70,2918,92,81
boy_40,miser,50,3946,79,70
boy_41,generous,89,6456,92,71
boy_42,geek,60,4465,83,76
boy_43,geek,50,3609,87,48
boy_44,miser,88,3452,71,74
boy_45,generous,81,3750,88,45
boy_46,miser,64,3701,84,91
boy_47,generous,91,4873,74,60
boy_48,generous,66,5716,93,74
boy_49,miser,53,2141,90,47
boy_50,generous,67,4922,85,50
boy_51,miser,57,3714,75,58
boy_52,geek,78,3659,83,60
boy_53,miser,79,2475,91,57
boy_54,miser,68,3377,75,56
boy_55,generous,48,6415,76,66
boy_56,generous,77,2845,85,45
boy_57,geek,88,3417,93,59
boy_58,miser,55,2386,84,78
boy_59,miser,60,2944,67,75
boy_60,geek,89,3924,75,86
boy_61,geek,72,4282,66,71
boy_62,miser,90,2369,65,79
boy_63,geek,82,2957,73,60
boy_64,generous,81,2468,79,81
boy_65,miser,79,3461,80,75
boy_66,geek,63,3108,85,60
boy_67,miser,87,3561,70,67
boy_68,generous,55,6125,65,55
boy_69,miser,56,2487,88,61
boy_70,geek,61,4946,79,80
boy_71,miser,90,3337,74,91
boy_72,generous,76,6059,73,80
boy_73,geek,81,4539,71,62
boy_74,generous,80,4744,71,83
boy_75,miser,63,3831,83,88
boy_76,miser,76,3270,81,81
boy_77,miser,54,2155,81,69
boy_78,geek,64,4773,93,94
boy_79,geek,54,2138,79,52
boy_80,miser,57,3617,66,48
boy_81,geek,55,4061,94,74
boy_82,generous,73,6598,82,60
boy_83,generous,55,4681,84,73
boy_84,generous,67,2348,94,70
boy_85,generous,48,2686,68,92
boy_86,generous,81,6645,82,65
boy_87,miser,49,3440,83,86
boy_88,miser,48,2225,72,48
