boy_id,typeAtrractiveness,gf_budget,Intelligence,Required_attr
boy_0,generous,74,5458,93,54
boy_1,geek,55,3458,75,83
boy_2,geek,75,4313,66,81
boy_3,generous,77,6845,69,91
boy_4,generous,82,4888,76,76
boy_5,geek,50,6577,79,78
boy_6,geek,84,6063,65,71
boy_7,miser,85,4542,86,66
boy_8,generous,82,3309,79,78
boy_9,miser,64,3352,79,62
boy_10,generous,60,2009,86,60
boy_11,generous,52,6083,72,74
boy_12,generous,46,2349,84,77
boy_13,geek,84,5700,87,83
boy_14,generous,71,5023,85,78
boy_15,geek,85,6860,79,58
boy_16,geek,64,5724,66,90
boy_17,miser,90,2001,65,47
boy_18,miser,83,4497,94,73
boy_19,geek,79,5423,82,75
boy_20,miser,74,2412,85,68
boy_21,miser,63,6655,78,48
boy_22,miser,45,6596,90,68
boy_23,geek,65,6910,78,92
boy_24,generous,53,3159,88,64
boy_25,geek,67,5582,82,61
boy_26,geek,86,3017,72,80
boy_27,miser,92,5162,87,76
boy_28,generous,90,4596,83,75
boy_29,geek,92,2904,91,55
boy_30,geek,91,6206,67,89
boy_31,miser,58,2997,75,83
boy_32,miser,86,5080,81,54
boy_33,miser,56,6719,90,47
boy_34,geek,69,2283,77,58
boy_35,generous,72,3959,71,81
boy_36,miser,59,4922,72,91
boy_37,miser,48,4102,84,52
boy_38,miser,57,3427,82,87
boy_39,generous,55,2141,71,47
boy_40,generous,86,3888,86,56
boy_41,miser,84,3839,72,75
boy_42,miser,79,2234,85,57
boy_43,generous,48,5141,91,71
boy_44,geek,94,5934,76,61
boy_45,geek,78,6023,84,75
boy_46,miser,46,2974,76,87
boy_47,geek,54,2727,66,53
boy_48,miser,94,3561,72,74
boy_49,miser,45,2318,85,94
boy_50,generous,58,5680,76,65
boy_51,generous,76,5022,78,90
boy_52,geek,72,3224,93,87
boy_53,geek,88,5510,75,61
boy_54,miser,58,3005,83,51
boy_55,generous,67,6234,94,53
boy_56,geek,45,3931,76,49
boy_57,geek,70,3835,85,88
boy_58,generous,50,6691,89,88
boy_59,generous,47,4667,68,62
boy_60,miser,66,5186,83,47
boy_61,geek,67,2084,81,58
boy_62,miser,59,5088,76,61
boy_63,geek,73,6170,66,80
boy_64,miser,81,2602,90,78
boy_65,generous,87,4647,83,81
boy_66,miser,66,5648,92,50
boy_67,generous,81,5629,93,47
boy_68,geek,87,3621,71,47
boy_69,miser,84,2322,82,58
boy_70,geek,92,4215,72,64
