boy_id,typeAtrractiveness,gf_budget,Intelligence,Required_attr
boy_0,generous,71,6889,85,75
boy_1,miser,52,4533,73,65
boy_2,miser,91,5877,78,84
boy_3,geek,72,6269,65,78
boy_4,miser,84,5904,67,54
boy_5,miser,91,3237,67,53
boy_6,generous,66,6117,66,75
boy_7,geek,93,5547,89,89
boy_8,geek,54,2091,94,79
boy_9,geek,75,4077,68,84
boy_10,geek,52,6678,90,66
boy_11,miser,68,5355,75,46
boy_12,geek,67,2809,74,70
boy_13,generous,82,3529,87,66
boy_14,miser,58,5671,91,78
boy_15,geek,85,4779,86,91
boy_16,geek,48,5251,77,88
boy_17,generous,45,5697,84,59
boy_18,generous,62,3921,77,90
boy_19,geek,48,6437,79,92
boy_20,geek,85,2374,89,60
boy_21,miser,48,4784,74,81
boy_22,generous,68,5856,77,58
boy_23,geek,69,6735,72,54
boy_24,miser,48,4317,89,91
boy_25,generous,84,2136,76,54
boy_26,geek,93,6880,76,68
boy_27,generous,57,4893,91,69
boy_28,geek,73,3738,73,45
boy_29,generous,84,2169,88,65
boy_30,generous,79,5161,69,59
boy_31,generous,87,6508,73,85
boy_32,miser,56,2909,80,91
boy_33,generous,84,4721,91,56
boy_34,geek,45,2678,67,65
boy_35,geek,62,6962,74,45
boy_36,geek,80,3232,89,71
boy_37,geek,67,3239,71,50
boy_38,geek,73,2866,89,87
boy_39,generous,83,3679,82,67
boy_40,geek,94,6587,86,63
boy_41,geek,71,5011,86,60
boy_42,generous,71,2469,79,49
boy_43,miser,70,6301,79,52
boy_44,miser,73,3143,67,47
boy_45,miser,67,3343,80,92
boy_46,geek,75,5646,72,88
boy_47,geek,83,4642,76,46
boy_48,generous,66,2576,70,87
boy_49,miser,80,3519,90,47
boy_50,miser,65,3547,75,87
boy_51,generous,50,3331,91,69
boy_52,generous,80,2480,79,80
boy_53,miser,54,6491,70,77
boy_54,miser,49,4207,80,68
boy_55,generous,46,6807,81,67
boy_56,generous,50,6233,77,86
boy_57,miser,86,4990,73,91
boy_58,geek,80,6419,71,52
boy_59,miser,81,2385,73,82
boy_60,miser,62,6930,93,61
boy_61,miser,46,6418,87,66
boy_62,miser,74,6112,86,80
boy_63,miser,46,2684,68,63
boy_64,generous,54,5412,90,74
boy_65,generous,65,6650,94,90
boy_66,generous,56,5975,71,92
boy_67,geek,64,3270,81,71
boy_68,miser,55,5759,68,53
boy_69,generous,69,4334,70,88
boy_70,geek,61,3725,82,62
boy_71,geek,87,5758,94,77
boy_72,miser,84,3885,72,63
boy_73,miser,84,2345,85,83
boy_74,miser,92,3114,94,51
boy_75,generous,46,2372,66,82
boy_76,generous,77,2473,80,63
boy_77,generous,86,2646,86,58
boy_78,geek,80,6916,73,71
boy_79,miser,84,2372,78,78
boy_80,geek,84,5032,72,53
boy_81,miser,52,3862,83,60
boy_82,miser,94,2364,94,56
boy_83,generous,90,4129,68,68
boy_84,generous,76,6776,78,51
boy_85,geek,76,3042,75,51
